shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
SA_R1,9.0526194,-79.4434221,194,1330.71
SA_R1,9.0526076,-79.4434516,195,1334.21
SA_R1,9.0525944,-79.443482,196,1337.85
SA_R1,9.0525832,-79.4435091,197,1341.08
SA_R1,9.0525702,-79.4435388,198,1344.64
SA_R1,9.0525592,-79.4435682,199,1348.1
SA_R1,9.0525508,-79.4435981,200,1351.51
SA_R1,9.0525475,-79.4436254,201,1354.53
SA_R1,9.0525502,-79.4436432,202,1356.51
SA_R1,9.0525572,-79.4436564,203,1358.15
SA_R1,9.0525636,-79.4436686,204,1359.67
SA_R1,9.052568,-79.4436875,205,1361.8
SA_R1,9.0525779,-79.4437069,206,1364.2
SA_R1,9.0525839,-79.4437239,207,1366.19
SA_R1,9.0525922,-79.4437339,208,1367.62
SA_R1,9.0525958,-79.4437348,209,1368.03
SA_R1,9.0526048,-79.4437321,210,1369.07
SA_R1,9.0526106,-79.4437322,211,1369.72
SA_R1,9.0526115,-79.4437351,212,1370.05
SA_R1,9.0526187,-79.4437415,213,1371.11
SA_R1,9.0526257,-79.4437559,214,1372.87
SA_R1,9.0526432,-79.4437733,215,1375.6
SA_R1,9.0526764,-79.4437932,216,1379.89
SA_R1,9.0527209,-79.4438113,217,1385.22
SA_R1,9.0527675,-79.4438343,218,1390.99
SA_R1,9.05282,-79.4438594,219,1397.44
SA_R1,9.0528785,-79.4438806,220,1404.35
SA_R1,9.0529417,-79.4439134,221,1412.25
SA_R1,9.0530099,-79.4439475,222,1420.71
SA_R1,9.0530642,-79.4439795,223,1427.7
SA_R1,9.0530952,-79.4439927,224,1431.43
SA_R1,9.0531139,-79.4440024,225,1433.77
SA_R1,9.0531316,-79.4440014,226,1435.74
SA_R1,9.0531348,-79.4439996,227,1436.15
SA_R1,9.0531344,-79.4439995,228,1436.19
SA_R1,9.0531344,-79.4439995,229,1436.19
SA_R1,9.0531344,-79.4439995,230,1436.19
SA_R1,9.0531297,-79.4439979,231,1436.75
SA_R1,9.0531262,-79.4439991,232,1437.16
SA_R1,9.0531262,-79.4439991,233,1437.16
SA_R1,9.0531262,-79.4439991,234,1437.16
SA_R1,9.0531262,-79.4439991,235,1437.16
SA_R1,9.0531262,-79.4439991,236,1437.16
SA_R1,9.0531262,-79.4439991,237,1437.16
SA_R1,9.0531262,-79.4439991,238,1437.16
SA_R1,9.0531262,-79.4439991,239,1437.16
SA_R1,9.0531262,-79.4439991,240,1437.16
SA_R1,9.0531262,-79.4439991,241,1437.16
SA_R1,9.0531262,-79.4439991,242,1437.16
SA_R1,9.0531262,-79.4439991,243,1437.16
SA_R1,9.0531262,-79.4439991,244,1437.16
